City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Month,Day,DayOfWeek,PM2.5_Lag1,PM10_Lag1,NO2_Lag1,CO_Lag1,f{col}_Roll3
Amaravati,2017-12-15,71.07,109.65,4.19,25.0,16.7,16.0,0.1,8.33,79.04,0.18,3.45,0.07,140.0,Moderate,12,15,4,69.4,98.94,29.97,0.14,0.13
Amaravati,2017-12-16,79.76,129.81,8.77,40.92,28.84,15.56,0.17,8.51,73.17,0.24,4.41,0.13,156.0,Moderate,12,16,5,71.07,109.65,25.0,0.1,0.1366666666666667
Amaravati,2017-12-17,108.06,167.62,7.29,47.05,30.94,18.52,0.08,16.05,70.74,0.31,4.32,0.24,225.0,Poor,12,17,6,79.76,129.81,40.92,0.17,0.11666666666666668
Amaravati,2017-12-18,100.75,172.04,7.63,53.94,33.45,18.49,0.11,14.05,59.2,0.26,3.77,0.19,251.0,Poor,12,18,0,108.06,167.62,47.05,0.08,0.12
Amaravati,2017-12-19,106.25,171.56,2.74,43.09,21.78,19.66,0.13,15.45,66.9,0.28,3.13,0.18,228.0,Poor,12,19,1,100.75,172.04,53.94,0.11,0.10666666666666667
Amaravati,2017-12-20,83.79,141.83,6.77,47.47,30.74,17.37,0.3,13.35,77.54,0.29,3.7,0.15,223.0,Poor,12,20,2,106.25,171.56,43.09,0.13,0.18000000000000002
Amaravati,2017-12-21,79.98,147.74,7.02,49.55,32.07,17.28,0.14,13.58,79.71,0.33,3.95,0.19,170.0,Moderate,12,21,3,83.79,141.83,47.47,0.3,0.19000000000000003
Amaravati,2017-12-22,76.27,152.59,7.51,56.0,35.9,19.53,0.15,29.88,56.97,0.29,4.44,0.19,165.0,Moderate,12,22,4,79.98,147.74,49.55,0.14,0.19666666666666666
Amaravati,2017-12-23,86.5,147.95,5.24,42.0,26.6,20.78,0.15,11.85,73.09,0.31,3.9,0.17,159.0,Moderate,12,23,5,76.27,152.59,56.0,0.15,0.14666666666666667
Amaravati,2017-12-24,100.62,167.75,3.75,47.68,28.41,23.68,0.22,10.85,62.78,0.34,4.81,0.29,232.0,Poor,12,24,6,86.5,147.95,42.0,0.15,0.17333333333333334
Amaravati,2017-12-25,110.73,171.47,1.69,31.06,17.89,21.66,0.1,12.23,76.07,0.33,3.96,0.16,242.0,Poor,12,25,0,100.62,167.75,47.68,0.22,0.15666666666666665
Amaravati,2017-12-26,107.7,170.21,4.97,43.54,27.2,22.52,0.17,18.07,64.6,0.33,4.01,0.16,274.0,Poor,12,26,1,110.73,171.47,31.06,0.1,0.16333333333333333
Amaravati,2017-12-27,104.81,192.2,9.59,63.48,41.57,21.06,0.23,17.01,63.87,0.38,4.1,0.36,259.0,Poor,12,27,2,107.7,170.21,43.54,0.17,0.16666666666666666
Amaravati,2017-12-28,89.95,175.16,10.95,64.53,43.23,18.87,0.27,15.52,62.49,0.36,4.12,0.23,225.0,Poor,12,28,3,104.81,192.2,63.48,0.23,0.22333333333333336
Amaravati,2017-12-29,74.58,138.6,6.14,46.65,29.81,18.2,0.17,9.47,67.11,0.32,3.76,0.18,177.0,Moderate,12,29,4,89.95,175.16,64.53,0.27,0.22333333333333336
Amaravati,2017-12-30,56.68,109.33,4.6,33.26,21.44,16.86,0.1,8.26,66.91,0.25,3.28,0.14,120.0,Moderate,12,30,5,74.58,138.6,46.65,0.17,0.18000000000000002
Amaravati,2017-12-31,61.03,131.62,5.51,39.5,25.49,17.82,0.08,11.45,61.91,0.33,4.16,0.19,120.0,Moderate,12,31,6,56.68,109.33,33.26,0.1,0.11666666666666668
Amaravati,2018-01-01,59.03,108.83,3.45,23.36,15.23,18.03,0.09,26.05,87.55,0.23,3.2,0.09,120.0,Moderate,1,1,0,61.03,131.62,39.5,0.08,0.09000000000000001
Amaravati,2018-01-02,61.88,109.82,3.87,23.14,15.45,19.57,0.09,12.81,81.38,0.2,3.84,0.04,132.0,Moderate,1,2,1,59.03,108.83,23.36,0.09,0.08666666666666667
Amaravati,2018-01-03,71.57,137.48,5.01,39.99,25.36,25.61,0.09,16.82,80.3,0.24,6.55,0.11,136.0,Moderate,1,3,2,61.88,109.82,23.14,0.09,0.09
Amaravati,2018-01-04,92.44,174.75,5.84,53.79,33.36,19.45,0.11,16.93,71.09,0.3,7.23,0.23,182.0,Moderate,1,4,3,71.57,137.48,39.99,0.09,0.09666666666666668
Amaravati,2018-01-05,92.9,162.69,6.38,56.39,35.19,21.02,0.08,23.11,68.79,0.29,7.88,0.2,222.0,Poor,1,5,4,92.44,174.75,53.79,0.11,0.09333333333333332
Amaravati,2018-01-06,85.15,151.97,11.05,61.55,41.72,18.71,0.07,11.86,90.8,0.26,7.14,0.16,230.0,Poor,1,6,5,92.9,162.69,56.39,0.08,0.08666666666666667
Amaravati,2018-01-07,81.47,145.68,6.45,46.9,30.18,20.18,0.07,9.63,96.49,0.25,7.26,0.15,224.0,Poor,1,7,6,85.15,151.97,61.55,0.07,0.07333333333333335
Amaravati,2018-01-08,81.58,132.66,3.97,34.93,21.81,21.59,0.09,12.81,118.91,0.29,6.16,0.15,217.0,Poor,1,8,0,81.47,145.68,46.9,0.07,0.07666666666666666
Amaravati,2018-01-09,79.56,146.64,4.44,37.58,23.6,17.71,0.05,17.77,137.61,0.05,1.1,0.02,230.0,Poor,1,9,1,81.58,132.66,34.93,0.09,0.06999999999999999
Amaravati,2018-01-10,87.43,155.95,3.9,37.31,23.02,22.35,0.1,13.4,121.72,0.1,1.93,0.01,229.0,Poor,1,10,2,79.56,146.64,37.58,0.05,0.08
Amaravati,2018-01-11,87.33,153.97,3.95,42.52,25.82,23.66,0.08,35.39,106.17,0.22,6.61,0.07,229.0,Poor,1,11,3,87.43,155.95,37.31,0.1,0.07666666666666667
Amaravati,2018-01-12,110.39,182.54,4.54,52.24,31.49,24.74,0.04,36.01,82.2,0.28,8.48,0.12,235.0,Poor,1,12,4,87.33,153.97,42.52,0.08,0.07333333333333333
Amaravati,2018-01-13,77.51,125.01,3.85,36.41,22.49,20.06,0.05,14.36,72.16,0.19,7.12,0.07,214.0,Poor,1,13,5,110.39,182.54,52.24,0.04,0.05666666666666667
Amaravati,2018-01-14,86.96,129.99,3.65,28.32,18.03,21.23,0.05,4.83,62.6,0.23,6.93,0.07,186.0,Moderate,1,14,6,77.51,125.01,36.41,0.05,0.04666666666666667
Amaravati,2018-01-15,76.29,115.53,2.96,21.35,13.75,20.38,0.05,8.75,69.99,0.18,7.71,0.07,172.0,Moderate,1,15,0,86.96,129.99,28.32,0.05,0.05
Amaravati,2018-01-16,67.06,100.34,3.22,20.25,13.29,18.78,0.06,4.7,54.92,0.15,6.52,0.07,138.0,Moderate,1,16,1,76.29,115.53,21.35,0.05,0.05333333333333334
Amaravati,2018-01-17,68.34,104.45,3.71,26.26,16.99,20.29,0.06,6.43,45.63,0.15,6.54,0.07,125.0,Moderate,1,17,2,67.06,100.34,20.25,0.06,0.056666666666666664
Amaravati,2018-01-18,66.28,117.3,7.36,45.13,29.99,21.68,0.05,7.21,45.97,0.19,6.81,0.1,132.0,Moderate,1,18,3,68.34,104.45,26.26,0.06,0.05666666666666667
Amaravati,2018-01-19,64.98,116.14,6.98,45.4,29.83,21.32,0.06,8.83,50.28,0.18,6.79,0.14,111.0,Moderate,1,19,4,66.28,117.3,45.13,0.05,0.05666666666666667
Amaravati,2018-01-20,75.46,132.84,9.56,56.53,37.84,21.88,0.13,30.48,51.98,0.2,6.58,0.14,137.0,Moderate,1,20,5,64.98,116.14,45.4,0.06,0.08
Amaravati,2018-01-21,81.58,141.85,4.99,38.15,24.35,19.33,0.05,11.04,59.76,0.16,5.83,0.07,172.0,Moderate,1,21,6,75.46,132.84,56.53,0.13,0.08
Amaravati,2018-01-22,78.27,142.86,5.98,45.36,29.01,19.12,0.06,10.32,58.53,0.16,5.57,0.06,160.0,Moderate,1,22,0,81.58,141.85,38.15,0.05,0.08
Amaravati,2018-01-23,79.01,138.14,6.16,45.43,29.17,20.29,0.06,10.18,58.04,0.18,5.76,0.07,163.0,Moderate,1,23,1,78.27,142.86,45.36,0.06,0.056666666666666664
Amaravati,2018-01-24,77.98,137.31,5.09,44.96,28.04,21.11,0.06,7.22,50.69,0.17,6.37,0.08,165.0,Moderate,1,24,2,79.01,138.14,45.43,0.06,0.06
Amaravati,2018-01-25,77.96,155.73,8.4,59.92,38.7,23.45,0.06,31.01,40.77,0.18,7.39,0.13,139.0,Moderate,1,25,3,77.98,137.31,44.96,0.06,0.06
Amaravati,2018-01-26,79.04,143.38,6.19,43.61,28.23,26.0,0.08,8.67,45.46,0.19,7.14,0.1,176.0,Moderate,1,26,4,77.96,155.73,59.92,0.06,0.06666666666666667
Amaravati,2018-01-27,77.78,131.14,6.1,43.84,28.33,26.3,0.09,7.62,43.26,0.18,6.61,0.07,162.0,Moderate,1,27,5,79.04,143.38,43.61,0.08,0.07666666666666666
Amaravati,2018-01-28,76.48,131.86,4.06,33.37,21.04,22.05,0.06,7.49,45.71,0.16,4.43,0.06,160.0,Moderate,1,28,6,77.78,131.14,43.84,0.09,0.07666666666666666
Amaravati,2018-01-29,74.2,135.97,4.3,35.82,22.55,20.24,0.07,12.16,53.0,0.15,4.24,0.05,142.0,Moderate,1,29,0,76.48,131.86,33.37,0.06,0.07333333333333332
Amaravati,2018-01-30,78.23,140.66,5.36,45.76,28.7,21.73,0.05,12.45,45.35,0.19,4.83,0.08,172.0,Moderate,1,30,1,74.2,135.97,35.82,0.07,0.060000000000000005
Amaravati,2018-01-31,68.53,147.48,8.28,61.52,39.46,19.74,0.04,23.68,37.99,0.18,5.11,0.11,134.0,Moderate,1,31,2,78.23,140.66,45.76,0.05,0.05333333333333334
Amaravati,2018-02-01,62.08,152.59,10.08,62.18,41.29,19.42,0.05,8.97,34.93,0.16,4.65,0.13,136.0,Moderate,2,1,3,68.53,147.48,61.52,0.04,0.04666666666666667
Amaravati,2018-02-02,50.64,130.36,6.48,45.52,29.49,19.89,0.07,10.61,40.57,0.18,3.9,0.11,130.0,Moderate,2,2,4,62.08,152.59,62.18,0.05,0.053333333333333344
Amaravati,2018-02-03,44.21,119.52,3.63,34.37,21.23,23.31,0.07,5.86,31.73,0.09,3.54,0.06,111.0,Moderate,2,3,5,50.64,130.36,45.52,0.07,0.06333333333333334
Amaravati,2018-02-04,50.71,115.65,7.91,35.16,25.13,11.19,0.06,8.16,32.58,0.13,3.19,0.08,117.0,Moderate,2,4,6,44.21,119.52,34.37,0.07,0.06666666666666667
Amaravati,2018-02-05,42.27,100.54,4.95,30.69,20.33,13.4,0.66,8.99,32.18,0.12,2.8,0.09,102.0,Moderate,2,5,0,50.71,115.65,35.16,0.06,0.26333333333333336
Amaravati,2018-02-06,39.41,101.1,3.21,28.53,17.83,17.9,0.81,5.86,28.72,0.12,3.07,0.11,108.0,Moderate,2,6,1,42.27,100.54,30.69,0.66,0.51
Amaravati,2018-02-07,50.56,116.89,6.93,37.27,25.44,11.05,0.97,5.25,23.36,0.08,2.3,0.1,99.0,Satisfactory,2,7,2,39.41,101.1,28.53,0.81,0.8133333333333335
Amaravati,2018-02-08,50.54,120.05,2.91,26.96,16.74,13.02,0.9,17.9,36.66,0.1,2.28,0.21,121.0,Moderate,2,8,3,50.56,116.89,37.27,0.97,0.8933333333333334
Amaravati,2018-02-09,26.22,62.82,2.24,20.1,12.54,12.32,0.61,8.25,23.74,0.07,3.07,0.12,86.0,Satisfactory,2,9,4,50.54,120.05,26.96,0.9,0.8266666666666667
Amaravati,2018-02-10,31.83,66.74,2.76,16.83,11.14,11.9,0.61,5.87,24.72,0.05,2.64,0.11,57.0,Satisfactory,2,10,5,26.22,62.82,20.1,0.61,0.7066666666666667
Amaravati,2018-02-11,70.26,112.29,0.4,11.87,6.57,13.05,0.62,7.29,31.4,0.06,2.1,0.1,107.0,Moderate,2,11,6,31.83,66.74,16.83,0.61,0.6133333333333334
Amaravati,2018-02-12,59.47,99.73,0.54,12.85,7.18,11.94,0.68,7.62,30.57,0.04,1.88,0.11,118.0,Moderate,2,12,0,70.26,112.29,11.87,0.62,0.6366666666666667
Amaravati,2018-02-13,58.71,99.04,0.41,13.88,7.62,11.99,0.86,6.89,36.2,0.12,1.84,0.1,110.0,Moderate,2,13,1,59.47,99.73,12.85,0.68,0.7200000000000001
Amaravati,2018-02-14,56.29,107.96,0.25,16.71,9.02,10.89,0.95,12.91,48.39,0.16,2.37,0.1,114.0,Moderate,2,14,2,58.71,99.04,13.88,0.86,0.8300000000000001
Amaravati,2018-02-15,50.41,118.62,1.68,25.6,15.01,20.24,0.69,11.81,33.46,0.17,3.82,0.11,111.0,Moderate,2,15,3,56.29,107.96,16.71,0.95,0.8333333333333334
Amaravati,2018-02-16,57.53,128.81,1.94,25.03,14.88,33.72,0.78,25.39,31.15,0.15,3.02,0.14,117.0,Moderate,2,16,4,50.41,118.62,25.6,0.69,0.8066666666666666
Amaravati,2018-02-17,43.82,97.19,1.45,16.01,9.45,22.52,0.67,17.62,27.62,0.09,2.52,0.12,107.0,Moderate,2,17,5,57.53,128.81,25.03,0.78,0.7133333333333334
Amaravati,2018-02-18,42.71,80.24,15.9,17.35,22.25,24.68,0.49,9.53,30.68,0.1,3.09,0.12,87.0,Satisfactory,2,18,6,43.82,97.19,16.01,0.67,0.6466666666666666
Amaravati,2018-02-19,54.73,94.12,3.49,12.79,9.73,22.79,0.58,8.21,30.21,0.08,2.23,0.15,89.0,Satisfactory,2,19,0,42.71,80.24,17.35,0.49,0.58
Amaravati,2018-02-20,50.91,99.84,4.55,16.33,12.39,23.18,0.64,10.34,26.24,0.1,2.51,0.1,97.0,Satisfactory,2,20,1,54.73,94.12,12.79,0.58,0.57
Amaravati,2018-02-21,38.5,106.7,4.5,16.82,12.69,19.54,0.58,11.02,26.62,0.1,2.68,0.11,100.0,Satisfactory,2,21,2,50.91,99.84,16.33,0.64,0.6
Amaravati,2018-02-22,32.21,107.43,7.39,17.33,15.32,18.13,0.6,11.81,24.84,0.12,3.28,0.13,105.0,Moderate,2,22,3,38.5,106.7,16.82,0.58,0.6066666666666666
Amaravati,2018-02-23,35.36,107.25,6.13,17.75,14.52,16.57,0.85,10.87,23.99,0.09,2.92,0.2,114.0,Moderate,2,23,4,32.21,107.43,17.33,0.6,0.6766666666666666
Amaravati,2018-02-24,59.65,127.26,8.21,19.14,16.94,20.46,0.7,10.82,21.64,0.16,2.67,0.15,116.0,Moderate,2,24,5,35.36,107.25,17.75,0.85,0.7166666666666667
Amaravati,2018-02-25,46.16,115.95,11.52,17.19,18.59,16.35,0.7366666666666667,9.18,16.94,0.13,2.51,0.13,116.0,Moderate,2,25,6,59.65,127.26,19.14,0.7,0.7622222222222222
Amaravati,2018-02-26,34.31,107.74,9.19,20.85,18.66,15.88,0.7733333333333333,13.97,16.28,0.1,2.44,0.12,98.0,Satisfactory,2,26,0,46.16,115.95,17.19,0.7366666666666667,0.7366666666666667
Amaravati,2018-02-27,39.52,113.31,19.35,21.18,27.0,18.5,0.81,15.02,18.8,0.15,2.65,0.2,116.0,Moderate,2,27,1,34.31,107.74,20.85,0.7733333333333333,0.7733333333333334
Amaravati,2018-02-28,43.08,116.06,5.34,19.02,14.54,22.46,0.79,22.7,25.64,0.09,2.16,0.12,108.0,Moderate,2,28,2,39.52,113.31,21.18,0.81,0.791111111111111
Amaravati,2018-03-01,38.1,97.0,7.1,22.21,17.68,19.27,0.79,13.89,22.73,0.06,2.12,0.11,100.0,Satisfactory,3,1,3,43.08,116.06,19.02,0.79,0.7966666666666667
Amaravati,2018-03-02,33.08,83.16,5.37,18.83,14.38,14.52,0.72,8.98,23.63,0.05,2.04,0.1,92.0,Satisfactory,3,2,4,38.1,97.0,22.21,0.79,0.7666666666666666
Amaravati,2018-03-03,29.7,77.45,4.45,17.33,13.01,12.72,0.65,9.71,29.26,0.05,1.85,0.1,80.0,Satisfactory,3,3,5,33.08,83.16,18.83,0.72,0.7200000000000001
Amaravati,2018-03-04,38.67,82.67,4.45,22.81,15.74,12.41,0.66,12.63,22.9,0.06,2.18,0.11,88.0,Satisfactory,3,4,6,29.7,77.45,17.33,0.65,0.6766666666666667
Amaravati,2018-03-05,30.04,83.07,11.58,24.74,22.65,12.52,0.78,8.98,17.81,0.05,1.91,0.21,83.0,Satisfactory,3,5,0,38.67,82.67,22.81,0.66,0.6966666666666667
Amaravati,2018-03-06,39.72,103.81,19.66,26.29,30.06,14.03,0.81,9.68,17.53,0.11,2.46,0.17,100.0,Satisfactory,3,6,1,30.04,83.07,24.74,0.78,0.75
Amaravati,2018-03-07,38.21,78.95,5.71,19.03,14.85,14.15,0.75,8.03,22.81,0.05,2.19,0.1,81.0,Satisfactory,3,7,2,39.72,103.81,26.29,0.81,0.7799999999999999
Amaravati,2018-03-08,58.31,124.64,11.93,28.85,25.14,14.0,1.03,10.21,22.24,0.12,2.38,0.16,112.0,Moderate,3,8,3,38.21,78.95,19.03,0.75,0.8633333333333333
Amaravati,2018-03-09,62.49,113.56,8.08,22.65,18.7,16.53,0.91,12.68,26.26,0.09,2.18,0.12,113.0,Moderate,3,9,4,58.31,124.64,28.85,1.03,0.8966666666666666
Amaravati,2018-03-10,49.04,102.46,5.75,19.92,15.26,14.09,0.64,6.82,26.52,0.1,2.5,0.1,105.0,Moderate,3,10,5,62.49,113.56,22.65,0.91,0.86
Amaravati,2018-03-11,41.67,80.09,2.74,13.08,9.19,13.51,0.78,8.35,30.38,0.11,2.08,0.1,88.0,Satisfactory,3,11,6,49.04,102.46,19.92,0.64,0.7766666666666667
Amaravati,2018-03-12,32.44,75.3,6.01,19.07,15.02,12.65,0.68,7.75,21.52,0.09,2.72,0.15,78.0,Satisfactory,3,12,0,41.67,80.09,13.08,0.78,0.7000000000000001
Amaravati,2018-03-13,26.43,80.85,10.73,20.82,19.8,11.64,0.72,9.43,16.52,0.08,2.24,0.13,78.0,Satisfactory,3,13,1,32.44,75.3,19.07,0.68,0.7266666666666667
Amaravati,2018-03-14,25.08,60.67,7.17,15.22,13.94,14.1,0.56,8.63,13.8,0.05,2.19,0.12,69.0,Satisfactory,3,14,2,26.43,80.85,20.82,0.72,0.6533333333333333
Amaravati,2018-03-15,26.09,63.05,4.9,10.42,9.51,10.74,0.58,11.33,21.38,0.02,1.26,0.1,60.0,Satisfactory,3,15,3,25.08,60.67,15.22,0.56,0.62
Amaravati,2018-03-16,16.62,39.94,4.9,8.18,8.43,11.53,0.58,6.37,12.68,0.01,1.52,0.16,51.0,Satisfactory,3,16,4,26.09,63.05,10.42,0.58,0.5733333333333334
Amaravati,2018-03-17,49.58,82.95,4.98,19.05,14.27,13.47,0.7,12.47,20.32,0.09,2.18,0.22,61.0,Satisfactory,3,17,5,16.62,39.94,8.18,0.58,0.62
Amaravati,2018-03-18,43.52,80.01,6.41,20.43,16.16,13.75,0.8,10.57,23.36,0.12,2.6,0.29,90.0,Satisfactory,3,18,6,49.58,82.95,19.05,0.7,0.6933333333333334
Amaravati,2018-03-19,39.83,76.09,4.63,14.37,11.5,13.34,0.7,8.89,23.13,0.09,2.71,0.1,74.0,Satisfactory,3,19,0,43.52,80.01,20.43,0.8,0.7333333333333333
Amaravati,2018-03-20,36.89,76.61,6.62,18.83,15.39,13.96,0.57,7.04,13.58,0.06,2.88,0.1,76.0,Satisfactory,3,20,1,39.83,76.09,14.37,0.7,0.6900000000000001
Amaravati,2018-03-22,52.69,94.25,4.69,14.44,11.58,15.35,0.59,16.81,19.03,0.01,1.48,0.1,92.0,Satisfactory,3,22,3,36.89,76.61,18.83,0.57,0.62
Amaravati,2018-03-23,46.48,95.41,4.35,14.79,11.5,15.02,0.6,15.55,21.04,0.03,1.62,0.16,93.0,Satisfactory,3,23,4,52.69,94.25,14.44,0.59,0.5866666666666667
Amaravati,2018-03-24,44.22,77.62,3.56,8.53,7.52,14.58,0.73,9.61,23.87,0.02,1.28,0.1,88.0,Satisfactory,3,24,5,46.48,95.41,14.79,0.6,0.64
Amaravati,2018-03-25,35.91,71.26,2.94,6.99,6.19,13.53,0.67,3.69,27.58,0.01,1.69,0.115,75.0,Satisfactory,3,25,6,44.22,77.62,8.53,0.73,0.6666666666666666
Amaravati,2018-03-26,39.05,81.51,3.43,9.86,8.11,10.94,0.68,7.26,23.74,0.05,2.2,0.13,79.0,Satisfactory,3,26,0,35.91,71.26,6.99,0.67,0.6933333333333334
Amaravati,2018-03-27,30.21,67.22,5.11,11.29,10.25,11.24,0.58,13.19,20.89,0.01,1.96,0.1,74.0,Satisfactory,3,27,1,39.05,81.51,9.86,0.68,0.6433333333333334
Amaravati,2018-03-28,31.14,60.35,4.25,10.36,9.05,11.8,0.83,14.42,20.99,0.02,1.69,0.1,62.0,Satisfactory,3,28,2,30.21,67.22,11.29,0.58,0.6966666666666667
Amaravati,2018-03-29,26.82,52.51,3.63,7.68,7.14,11.54,0.69,13.63,23.6,0.0,1.27,0.1,53.0,Satisfactory,3,29,3,31.14,60.35,10.36,0.83,0.6999999999999998
Amaravati,2018-03-30,26.34,52.07,3.49,8.43,7.41,9.3,0.57,18.83,23.6,0.0,1.38,0.1,53.0,Satisfactory,3,30,4,26.82,52.51,7.68,0.69,0.6966666666666667
Amaravati,2018-03-31,28.48,55.8,3.06,6.86,6.23,10.49,0.64,12.97,24.19,0.0,1.42,0.1,55.0,Satisfactory,3,31,5,26.34,52.07,8.43,0.57,0.6333333333333333
Amaravati,2018-04-01,21.83,52.92,2.69,5.28,5.09,7.53,0.55,8.3,23.34,0.0,1.43,0.12,52.0,Satisfactory,4,1,6,28.48,55.8,6.86,0.64,0.5866666666666667
Amaravati,2018-04-02,24.23,52.06,4.32,14.33,11.23,8.17,0.56,9.95,23.86,0.04,1.38,0.1,55.0,Satisfactory,4,2,0,21.83,52.92,5.28,0.55,0.5833333333333334
Amaravati,2018-04-03,22.29,55.96,4.38,11.27,9.64,10.88,0.67,8.08,19.63,0.03,1.85,0.1,56.0,Satisfactory,4,3,1,24.23,52.06,14.33,0.56,0.5933333333333334
Amaravati,2018-04-04,25.28,54.59,4.93,9.65,9.24,12.44,0.72,8.7,19.64,0.01,1.5,0.1,56.0,Satisfactory,4,4,2,22.29,55.96,11.27,0.67,0.65
Amaravati,2018-04-05,19.68,45.57,2.06,6.63,5.2,8.44,0.69,5.86,14.34,0.0,1.43,0.1,52.0,Satisfactory,4,5,3,25.28,54.59,9.65,0.72,0.6933333333333334
Amaravati,2018-04-07,24.4,70.25,5.01,10.84,9.84,10.27,0.74,7.4,13.13,0.0,1.11,0.1,76.0,Satisfactory,4,7,5,19.68,45.57,6.63,0.69,0.7166666666666667
Amaravati,2018-04-08,20.05,79.5,4.17,13.54,10.69,9.77,0.65,10.35,34.29,0.02,1.12,0.1,76.0,Satisfactory,4,8,6,24.4,70.25,10.84,0.74,0.6933333333333334
Amaravati,2018-04-09,23.72,55.74,4.18,8.86,8.18,10.54,0.81,6.71,19.29,0.0,0.99,0.1,81.0,Satisfactory,4,9,0,20.05,79.5,13.54,0.65,0.7333333333333334
Amaravati,2018-04-10,26.12,56.77,4.8,11.71,10.14,9.83,0.5,6.88,14.32,0.0,1.14,0.12,59.0,Satisfactory,4,10,1,23.72,55.74,8.86,0.81,0.6533333333333334
Amaravati,2018-04-13,7.16,26.39,3.86,5.22,5.99,8.62,0.59,6.62,14.29,0.0,0.95,0.1216666666666666,46.0,Good,4,13,4,26.12,56.77,11.71,0.5,0.6333333333333333
Amaravati,2018-04-14,7.97,33.2,4.26,6.48,7.0,8.66,0.61,6.01,11.52,0.0,1.06,0.1233333333333333,40.0,Good,4,14,5,7.16,26.39,5.22,0.59,0.5666666666666667
